station           code     x               y              z               SEFD-92  SEFD-49  SEFD-30  SEFD-21  SEFD-18  SEFD-13  SEFD-6  SEFD-5  SEFD-3.6  SEFD-2  SEFD-1.3  SEFD-0.9  SEFD-0.7  SEFD-0.3  SEFD-0.1
Robledo70         RO7      4849336.6927    -360488.7857   4114748.8272    -1       -1       -1       -1       35       20       -1      -1      18        -1      83        -1        -1        -1        -1
Robledo34         RO3      4849336.6927    -360488.7857   4114748.8272    -1       -1       -1       -1       -1       150      -1      -1      106       -1      -1        -1        -1        -1        -1
Lovell            JB1      3822626.0400    -154105.6500   5086486.0400    132      83       -1       36       65       -1       80      -1      -1        -1      -1        -1        -1        -1        -1
JodrellBank-Mrk2  JB2      3822846.7600    -153802.2800   5086285.9000    -1       -1       -1       350      320      -1       320     300     -1        -1      910       -1        -1        -1        -1
Kuntunse          NK       6346273.5210    -33779.7127    634844.9454     -1       -1       -1       -1       -1       -1       1200    -1      -1        -1      -1        -1        -1        -1        -1
Cambridge         CM       3920356.1500    2542.0200      5014284.4200    -1       -1       -1       220      212      -1       136     410     -1        -1      720       -1        -1        -1        -1
Darnhall          DA       3829087.8990    -169568.9550   5081082.3460    -1       -1       -1       -1       -1       -1       -1      -1      -1        -1      -1        -1        -1        -1        -1
Defford           DE       3923442.5660    -146914.3300   5009755.1250    -1       -1       -1       -1       -1       -1       -1      -1      -1        -1      -1        -1        -1        -1        -1
Tabley            TA       3817549.9560    -163031.1410   5089896.6540    -1       -1       -1       -1       -1       -1       -1      -1      -1        -1      -1        -1        -1        -1        -1
Knockin           KN       3860084.8980    -202105.0390   5056568.8480    -1       -1       -1       -1       -1       -1       -1      -1      -1        -1      -1        -1        -1        -1        -1
KVN-Yonsei        KY       -3042280.9035   4045902.6564   3867374.3087    -1       -1       -1       -1       -1       -1       -1      -1      -1        -1      1288      -1        1919      2500      4000
KVN-Ulsan         KU       -3287268.5430   4023450.1448   3687379.9675    -1       -1       -1       -1       -1       -1       -1      -1      -1        -1      1288      -1        1919      2500      4000
KVN-Tamna         KT       -3171731.5532   4292678.5258   3481038.7679    -1       -1       -1       -1       -1       -1       -1      -1      -1        -1      1288      -1        1919      2500      4000
JVLA-1            VLA1     -1601185.4286   -5041977.1754  3554875.6231    3900     -1       -1       420      420      370      310     310     250       350     560       710       1260      -1        -1
JVLA-27           VLA27    -1601185.4286   -5041977.1754  3554875.6231    167      -1       -1       17.9     17.9     15.8     13.2    13.2    10.7      15      23.9      30.3      53.8      -1        -1
VLBA-BR           VLBA-BR  -2112065.2062   -3705356.5048  4726813.6759    2742     2744     -1       289      314      347      210     278     327       543     640       -1        1181      4236      -1
VLBA-FD           VLBA-FD  -1324009.3266   -5332181.9547  3231962.3949    2742     2744     -1       289      314      347      210     278     327       543     640       -1        1181      4236      -1
VLBA-HN           VLBA-HN  1446374.8658    -4447939.6774  4322306.1838    2742     2744     -1       289      314      347      210     278     327       543     640       -1        1181      -1        -1
VLBA-KP           VLBA-KP  -1995678.8402   -5037317.6968  3357328.0251    2742     2744     -1       289      314      347      210     278     327       543     640       -1        1181      4236      -1
VLBA-LA           VLBA-LA  -1449752.5839   -4975298.5757  3709123.8459    2742     2744     -1       289      314      347      210     278     327       543     640       -1        1181      4236      -1
VLBA-MK           VLBA-MK  -5464075.1874   -2495248.1168  2148297.3643    2742     2744     -1       289      314      347      210     278     327       543     640       -1        1181      4236      -1
VLBA-NL           VLBA-NL  -130872.4987    -4762317.0925  4226851.0014    2742     2744     -1       289      314      347      210     278     327       543     640       -1        1181      4236      -1
VLBA-OV           VLBA-OV  -2409150.4018   -4478573.1180  3838617.3385    2742     2744     -1       289      314      347      210     278     327       543     640       -1        1181      4236      -1
VLBA-PT           VLBA-PT  -1640953.9383   -5014816.0237  3575411.7916    2742     2744     -1       289      314      347      210     278     327       543     640       -1        1181      4236      -1
VLBA-SC           VLBA-SC  2607848.6379    -5488069.5358  1932739.7326    2742     2744     -1       289      314      347      210     278     327       543     640       -1        1181      -1        -1
GreenBank         GBT      882589.4102     -4924872.3416  3943729.4062    35       24       13       10       10       12       13      13      15        20      30        -1        60        140       -1
ATCA              ATCA     -4751639.85972  2791700.35670  -3200491.11339  -1       -1       -1       68       68       106      70      70      86        220     106       -1        180       1440      -1
Parkes            PA       -4554232.4864   2816758.8662   -3454035.0137   -1       -1       -1       40       40       30       110     110     43        370     810       -1        -1        -1        -1
Mopra             MO       -4682769.05850  2802619.04217  -3291759.33837  -1       -1       -1       240      240      530      350     350     430       1300    675       -1        900       3750      -1
Hobart            HO       -3950237.3590   2522347.6804   -4311561.8790   -1       -1       -1       470      470      650      640     640     560       1200    1800      -1        -1        -1        -1
Ceduna            CD       -3753442.7457   3912709.7530   -3348067.6095   -1       -1       -1       1000     1000     400      450     550     600       750     2500      -1        -1        -1        -1
Tidbinbilla70     TD70     -4460895.2445   2682361.5103   -3674747.5813   -1       -1       -1       -1       23       16       -1      -1      25        -1      60        -1        -1        -1        -1
Warkworth         WW       -5115324.4279   477843.2969    -3767192.8344   -1       -1       -1       -1       -1       -1       -1      -1      -1        -1      -1        -1        -1        -1        -1
Goldstone         DSS14    -2353621.2459   -4641341.5369  3677052.2305    -1       -1       -1       -1      49        -1       -1      -1    -1         -1       65        -1        -1        -1        -1
ASKAP             ASKAP    -2556743.707    5097440.315    -2847749.657    -1       -1       -1       6000     6000     -1       -1      -1      3500      -1      -1        -1        -1        -1        -1
SKA1_MID          SKA      -2556743.707    5097440.315    -2847749.657    -1       -1       -1       3        3        -1       5       5       5         8       10        -1        -1        -1        -1
Matera            MA       4641938.78318   1393003.02605 4133325.52288    -1       -1       -1       -1       -1       1000     -1      -1      1000      -1      -1        -1        -1        -1        -1
Pico_Veleta       PV       5088967.9000    -301681.6000   3825015.8000    -1       -1       -1       -1       -1       -1       -1      -1      -1        -1      -1        -1        -1        640       1160
ALMA              ALMA     2225061.8731    -5440061.9534 -2481682.0838    -1       -1       -1       -1       -1       -1       -1      -1      -1        -1      -1        -1        -1        75        85
APEX              APEX     2225039.5297    -5441197.6292 -2479303.3597    -1       -1       -1       -1       -1       -1       -1      -1      -1        -1      -1        -1        -1        -1        4977
PdBure            PdB      4524000.43      468042.14     4460309.76    -1       -1       -1       -1       -1       -1       -1      -1      -1        -1      -1        -1        -1        450         4299
LMT               LMT      -768715.632     -5988507.072  2063354.852    -1       -1       -1       -1       -1       -1       -1      -1      -1        -1      -1        -1        -1       1714        3536
SPT               SPT      792.600         -802.600      -6359569.200      -1       -1      -1     -1        -1       -1        -1        -1      -1       -1       -1        -1         -1       -1    7497
SMTO              SMTO     -1828796.2000   -5054406.8000 3427865.200    -1       -1      -1     -1        -1       -1        -1        -1      -1       -1       -1        -1         -1       -1       9057
JCMT              JCMT     -5464584.676    -2493001.170  2150653.982     -1       -1      -1     -1        -1       -1        -1        -1      -1       -1       -1        -1         -1       -1      3842
SMA               SMA      -5464588.447    -2492884.038  2150756.452    -1       -1      -1     -1        -1       -1        -1        -1      -1       -1       -1        -1         -1       -1       2374
