station         code     network x               y              z        SEFD-92 SEFD-49 SEFD-30 SEFD-21 SEFD-18 SEFD-13 SEFD-6 SEFD-5 SEFD-3.6 SEFD-1.3 SEFD-0.7 SEFD-0.3 SEFD-0.1
Noto            Nt       EVN 4934562.8407    1321201.5428   3806484.7336    -1       -1       -1       820      784      770      260     1100    770       800       900  -1  -1
Onsala          On       EVN 3370965.8787    711466.1978    5349664.2006    -1       -1       900      350      350      1110     480     850     785       1200      1310   -1  -1
OVRO            Ov       VLBA -2409150.4018   -4478573.1180  3838617.3385    2742     2744     -1       289      314      347      210     278     327       543       640   -1  -1
Parkes          Pa       LBA -4554232.4864   2816758.8662   -3454035.0137   -1       -1       -1       40       40       30       110     110     43        370       810   -1  -1
Pie_Town        Pt       VLBA -1640953.9383   -5014816.0237  3575411.7916    2742     2744     -1       289      314      347      210     278     327       543       640   -1  -1
Sardinia        Sr       EVN 4865183.5420    791922.2550    4035136.0240    -1       -1       -1       67       67       -1       -1      50      -1        138       -1     -1  -1
St._Croix       Sc       VLBA 2607848.6379    -5488069.5358  1932739.7326    2742     2744     -1       289      314      347      210     278     327       543       640  -1  -1
Tianma          T6       EVN -2826708.6030   4679237.0770   3274667.5510    -1       -1       -1       39000    39000    46       26      26      48        70        120   -1  -1
Shanghai        Sh       EVN -2831687.4273   4675733.4681   3275327.4971    -1       -1       -1       -1       670      800      720     1500    800       -1        -1   -1  -1
Urumqi          Ur       EVN 228310.2129     4631922.7656   4367064.0638    -1       -1       -1       300      300      560      250     -1      350       850       -1   -1  -1
Yebes           Ys       EVN 4848761.8027    -261484.1746   4123085.0529    -1       -1       -1       -1       -1       1400     160     160     200       200       480   -1  -1
Zelenchukskaya  Zc       EVN 3451207.5353    3060375.4139   4391915.0384    -1       -1       -1       300      300      330      400     -1      200       710       -1   -1  -1
JVLA_1          VLA      VLBA -1601185.4286   -5041977.1754  3554875.6231    3900     -1       -1       420      420      370      310     310     250       350       560  -1  -1
JVLA_27         Y27      VLBA -1601185.4286   -5041977.1754  3554875.6231    167      -1       -1       17.9     17.9     15.8     13.2    13.2    10.7      15        23.9  -1  -1
Robledo_70      Ro7      EVN 4849336.6927    -360488.7857   4114748.8272    -1       -1       -1       -1       35       20       -1      -1      18        83        -1    -1  -1
Robledo_34      Ro3      EVN 4849336.6927    -360488.7857   4114748.8272    -1       -1       -1       -1       -1       150      -1      -1      106       -1        -1  -1  -1
Arecibo         Ar       Other 2390486.9000    -5564731.4400  1994720.4500    12       -1       3        3.5      3        3        5       5       6         -1        -1  -1  -1
Irbene          Ir       EVN 3183649.314     1276902.989    5359264.710     -1       -1       -1       -1       3600     -1       430     480     1300      -1        -1   -1  -1
Jodrell_Bank    Jb2      EVN 3822846.7600    -153802.2800   5086285.9000    -1       -1       -1       350      320      -1       320     300     -1        910       -1   -1  -1
Lovell          Jb1      EVN 3822626.0400    -154105.6500   5086486.0400    132      83       -1       36       65       -1       80      -1      -1        -1        -1   -1  -1
Torun           Tr       EVN 3638558.5100    1221969.7200   5077036.7600    -1       -1       2000     250      300      -1       220     650     -1        500       -1   -1  -1
Westerbork      Wb       EVN 3828767.2647    442446.1739    5064921.5700    2100     -1       1680     420      560      840      1680    1600    1680      -1        -1   -1  -1
ATCA            ATCA     LBA -4751639.85972  2791700.35670  -3200491.11339  -1       -1       -1       68       68       106      70      70      86        106       180  -1  -1
Svetloe         Sv       EVN 2730173.6723    1562442.7934   5529969.1413    -1       -1       -1       360      360      330      250     -1      200       710       -1  -1  -1
Tidbinbilla-70  Td       LBA -4460895.2445   2682361.5103   -3674747.5813   -1       -1       -1       -1       23       16       -1      -1      25        -1        60  -1  -1
Warkworth       Ww       LBA -5115324.4279   477843.2969    -3767192.8344    -1      -1       -1      3400     -1        -1      -1      3800     -1      -1         -1    -1  -1
Katherine       Ka       LBA -4147354.6913  4581542.3772    -1573303.1565   -1      -1       -1       5000     -1        -1      -1      4000     -1      -1         -1    -1  -1
Yarragadee      Ya       LBA -2388896.1890  5043350.0019    -3078590.8037   -1      -1       -1       4000     -1        -1      -1      3500     -1      -1         -1    -1  -1
Cambridge       Cm       eMERLIN 3920356.1500    2542.0200   5014284.4200  -1      -1       -1       200      175      -1       175     225     -1        720       -1    -1  -1
Darnhall        Da       eMERLIN 3829087.8990 -169568.9550   5081082.3460  -1      -1       -1       450      450       -1      325     325     -1        720       -1    -1  -1
Defford         De       eMERLIN 3923442.5660 -146914.3300   5009755.1250  -1      -1       -1       350      350       -1     1000    1600     -1        720       -1    -1  -1
Knockin         Kn       eMERLIN 3860084.8980 -202105.0390   5056568.8480  -1      -1       -1       425      400       -1      325     325     -1        720       -1    -1  -1
Pickmere        Pi       eMERLIN 3817549.9560 -163031.1410   5089896.6540  -1      -1       -1       400      450       -1      325     325     -1        720       -1   -1  -1
Ceduna          Cd       LBA -3753442.7457   3912709.7530   -3348067.6095   -1       -1       -1       1000     1000     400      450     550     600       750       2500  -1  -1
Mopra           Mo       LBA -4682769.05850  2802619.04217  -3291759.33837  -1       -1       -1       240      240      530      350     350     430       1300      675  -1  -1
Yonsei          Ky       KVN -3042280.9035   4045902.6564   3867374.3087    -1       -1       -1       -1       -1       -1       -1      -1      -1        1288      1919  -1  -1
Ulsan           Ku       KVN -3287268.5430   4023450.1448   3687379.9675    -1       -1       -1       -1       -1       -1       -1      -1      -1        1288      1919  -1  -1
Tamna           Kt       KVN -3171731.5532   4292678.5258   3481038.7679    -1       -1       -1       -1       -1       -1       -1      -1      -1        1288      1919  -1  -1
ASKAP           ASKAP    Other -2556743.707    5097440.315    -2847749.657    -1       -1       -1       6000     6000     -1       -1      -1      3500      -1        -1  -1  -1
Wettzell        Wz       EVN 4075627.6441    931774.2773    4801552.3784    -1       -1       -1       -1       -1       1250     -1      -1      750       -1        -1    -1  -1
SKA1_MID        SKA      Other -2556743.707    5097440.315    -2847749.657    -1       -1       -1       3        3        -1       -1      -1      -1        -1        -1  -1  -1
Kuntunse        Nk       Other 6346273.5210    -33779.7127    634844.9454     -1       -1       -1       -1       -1       -1       1200    -1      -1        -1        -1  -1  -1
Dwingeloo       Dw       Other 3839348.9730    430403.5100    5057990.0990    -1       -1       -1    6000      6000      -1       -1    -1      -1        -1        -1  -1  -1
FAST            Fa       Other -1668526.98 5506738.85 2744897.69  8        -1      2        1.95     1.95      -1        -1       -1     -1       -1         -1  -1  -1
Matera          Ma       Other 4641938.4489   1393003.3339    4133325.7916  -1        -1     -1        -1       -1      1000      -1       -1     1000      -1         -1  -1  -1
Alesund         Ny       Other 1202462.5055    252734.5174    6237766.2210  -1        -1     -1       -1         -1      850     -1       -1      1255     -1          -1  -1  -1
Pico_Veleta     Pv       Other 5088967.9000   301681.6000      3825015.8000 -1        -1     -1       -1       -1         -1    -1        -1      -1      -1        -1   640  1160
P._de_Bure      PdB      Other 4524000.430   468042.140  4460309.760      -1          -1     -1        -1      -1         -1    -1        -1       -1      -1      -1    450  4299
GMRT            GMRT     Other 1656988.9135   5797576.2281   2073756.22   55         59     53        47      -1         -1      -1       -1      -1     -1       -1    -1   -1
ALMA            ALMA     Other 2225061.164 -5440057.370 -2481681.151         -1    -1    -1    -1    -1    -1    -1    -1    -1    -1    -1      75    85
LMT             LMT      Other -768715.632 -5988507.072  2063354.852        -1    -1    -1    -1    -1    -1    -1    -1    -1    -1    -1  1714  3536
SMA             SMA      Other  -1828790.81 -5054428.74 3427884.59          -1    -1    -1    -1    -1    -1    -1    -1    -1    -1    -1    -1  2374
JCMT            JCMT     Other -5464559.08 -2492999.13 2150638.19 -1    -1    -1    -1    -1    -1    -1    -1    -1    -1    -1    -1  3842
SMT             SMT      Other -1828790.81 -5054428.74 3427884.59 -1    -1    -1    -1    -1    -1    -1    -1    -1    -1    -1    -1  9057 
APEX            APEX     Other 2225213.22 -5441629.65 2478102.85   -1    -1    -1    -1    -1    -1    -1    -1    -1    -1    -1    -1  4977
South_Pole_T.   SPT      Other  0.0 0.0 -6359552.31424518       -1    -1    -1    -1    -1    -1    -1    -1    -1    -1    -1    -1  7497

